evaluation-dataset,train-0,train-1,train-2,train-3,train-4,train-5
append-0,0.83910869960,0.74413900049,0.68717185929,0.68323241972,0.75822915550,0.78880959155
append-1,0.29251616665,0.84227993255,0.79115434939,0.75930517847,0.77591117941,0.76192255760
append-2,0.31273719783,0.34369909522,0.83726383020,0.82138561417,0.81308965078,0.82029620059
append-3,0.32999417302,0.28370740606,0.79046409251,0.83189623472,0.82431766406,0.82679732013
append-4,0.34519053543,0.28786523872,0.64896644215,0.83088646150,0.82569521657,0.82771281731
append-5,0.35560039761,0.30276073091,0.56935475620,0.81311766136,0.82510388995,0.82922285321
prepend-1,0.24370308318,0.24098520835,0.24601218777,0.27785569458,0.39490894384,0.39444476956
prepend-2,0.24599149302,0.23003544007,0.28142585999,0.44620036497,0.70202752961,0.72766294548
prepend-3,0.25971196809,0.24198840973,0.27352366723,0.45404115489,0.71995637845,0.73588997534
prepend-4,0.27138361914,0.25386973665,0.27973229319,0.44871841819,0.72281281749,0.73024196946
prepend-5,0.27933772621,0.26497494726,0.28026983022,0.43353726487,0.71298527464,0.72616854590
